Country,CanSino,Moderna,AstraZeneca,Pfizer,Sinopharm,Sputnik,Johnson,Novavax,Valneva,Medicago,Sinovac,Covaxin,Sanofi
Argentina,20003480,0,0,0,264006097,0,428412557,400651222,0,605972331,0,434441898,0
Austria,0,0,1104511,0,4891640,38940,3186129,46224572,0,0,0,0,25
Belgium,0,0,1284866,0,12893849,1052,2849221,54577552,0,0,0,0,0
Bulgaria,0,0,1577319,0,1519012,0,0,8997660,0,0,0,0,0
Canada,0,0,22748,863,24803177,21948,2813475,59570614,0,0,0,0,0
Chile,0,0,0,0,0,0,0,169265634,0,0,544614643,0,0
Croatia,0,0,612101,0,1540789,4041,568518,11902729,0,0,0,0,0
Cyprus,0,0,92789,0,0,2418,0,3776282,0,0,0,0,0
Czechia,0,0,7018001,0,33967423,176095,1773555,313366785,0,0,346,0,0
Denmark,0,0,137791,0,5146208,0,311875,30948759,0,0,0,0,0
Estonia,0,0,236105,0,477576,4681,238919,4651079,0,0,0,0,0
Finland,0,0,0,0,6091183,0,553903,30137367,0,0,0,0,0
France,0,0,21807802,0,502198283,645381,0,2443305782,0,0,0,0,0
Germany,0,0,78769667,0,660799113,2938964,153630651,2864982805,0,0,0,0,0
Hong_Kong,0,0,0,0,0,0,0,223978211,0,0,162794652,0,0
Hungary,0,0,1030064,0,3233329,0,0,28986475,0,6938061,0,0,0
Ireland,0,0,483153,0,4646873,1385,3652934,25730423,0,0,0,0,0
Italy,0,0,3016261,0,616158692,727896,0,1936828292,0,0,0,0,0
Japan,0,0,0,0,1554455107,3207167,1059113,4985101779,0,0,0,0,0
Liechtenstein,0,0,0,0,139667,0,0,43298,0,0,0,0,0
Lithuania,0,0,887132,0,987633,0,0,9965085,0,0,0,0,0
Luxembourg,0,0,41509,0,1010606,1390,0,2153830,0,0,0,0,0
Malta,0,0,32400,0,835928,0,455709,2198444,0,0,0,0,0
Netherlands,0,0,2265384,0,25293927,7799,0,68045924,0,0,0,0,0
Norway,0,0,7375,0,6962716,0,444250,27460880,0,0,0,0,0
Peru,0,0,0,0,88821645,0,79757386,1033702956,0,443883555,0,0,0
Poland,0,0,8153568,0,11063327,39870,15876858,121071328,0,0,0,0,0
Portugal,0,0,3415988,0,11075666,197,6827770,48083008,0,9078,16801,0,0
Slovakia,0,0,558532,0,2034208,10572,0,15390793,0,0,0,0,0
Slovenia,0,0,271435,0,707514,549,0,6742123,0,0,0,0,0
South_Africa,0,0,192549351,0,0,0,0,592215646,0,0,0,0,0
South_Korea,0,0,22726429,0,241808115,4816424,0,1096769049,0,0,0,0,0
Spain,0,0,1981617,0,72374696,0,0,201113075,0,0,0,0,0
Sweden,0,0,0,0,12199920,19288,0,48196079,0,0,0,0,0
Switzerland,0,0,1120993,0,208034226,4140,0,119393779,0,0,0,0,0
United_States,0,0,56568304,0,686353816,36315,0,1077820079,0,0,0,0,0
Uruguay,0,0,0,0,0,0,91196,45961990,0,0,3248196,0,0
